id,full name,code,acronym,country,finantial
1,Private flight,-,,,Y
2,135 Airways,,GENERAL,United States,N
3,1Time Airline,1T,NEXTIME,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,,,United Kingdom,N
5,213 Flight Unit,,,Russia,N
6,223 Flight Unit State Airline,,CHKALOVSK-AVIA,Russia,N
7,224th Flight Unit,,CARGO UNIT,Russia,N
8,247 Jet Ltd,,CLOUD RUNNER,United Kingdom,N
9,3D Aviation,,SECUREX,United States,N
10,40-Mile Air,Q5,MILE-AIR,United States,Y
11,4D Air,,QUARTET,Thailand,N
12,611897 Alberta Limited,,DONUT,Canada,N
13,Ansett Australia,AN,ANSETT,Australia,Y
14,Abacus International,1B,,Singapore,Y
15,Abelag Aviation,W9,ABG,Belgium,N
16,Army Air Corps,,ARMYAIR,United Kingdom,N
17,Aero Aviation Centre Ltd.,,SUNRISE,Canada,N
18,Aero Servicios Ejecutivos Internacionales,,ASEISA,Mexico,N
19,Aero Biniza,,BINIZA,Mexico,N
20,Aero Albatros,,ALBATROS ESPANA,Spain,N
21,Aigle Azur,ZI,AIGLE AZUR,France,Y
22,Aloha Airlines,AQ,ALOHA,United States,Y
23,Alaska Island Air,,ALASKA ISLAND,United States,N
24,American Airlines,AA,AMERICAN,United States,Y
25,Aviation Management Corporation,,AM CORP,United States,N
26,Atlantis Airlines (USA),,ATLANTIS AIR,United States,N
27,Aerovista Airlines,,AEROVISTA GROUP,United Arab Emirates,N
28,Asiana Airlines,OZ,ASIANA,Republic of Korea,Y
29,Askari Aviation,4K,AL-AAS,Pakistan,Y
30,Australia Asia Airlines,,AUSTASIA,Australia,N
31,Astro Air International,,ASTRO-PHIL,United States,N
32,Afriqiyah Airways,8U,AFRIQIYAH,Libya,Y
33,Afrinat International Airlines,Q9,,Gambia,N
34,Afric'air Express,,AFREX,Ivory Coast,N
35,Allegiant Air,G4,ALLEGIANT,United States,Y
36,Angus Aviation,,ANGUS,Canada,N
37,Artem-Avia,,ARTEM-AVIA,Ukraine,N
38,African Business and Transportations,,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
39,Aban Air,K5,ABAN,Iran,n
40,Aerial Oy,,SKYWINGS,Finland,N
41,Abakan-Avia,,ABAKAN-AVIA,Russia,N
42,ABSA - Aerolinhas Brasileiras,M3,ABSA Cargo,Brazil,Y
43,Abaet,,Abaet,Brazil,N
44,Alberta Citylink,,ALBERTA CITYLINK,Canada,N
45,APSA Colombia,,AEROEXPRESO,Colombia,N
46,Aerovias Bueno,,AEROBUENO,Colombia,N
47,Aerocenter,, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
48,Antrak Air,4,ANTRAK,Ghana,N
49,Airborne Express,GB,ABEX,United States,N
50,ABX Air,GB,ABEX,United States,N
51,ATA Brasil,,ATA-BRAZIL,Brazil,N
52,Avcard Services,,,United Kingdom,N
53,Academy Airlines,,ACADEMY,United States,N
54,Aero Comondu,,AERO COMONDU,Mexico,N
55,Astral Aviation,8V,ASTRAL CARGO,Kenya,Y
56,Air Cess,,,Liberia,N
57,Air Aurora,,BOREALIS,United States,N
58,Air Cargo Transportation System,,AFRISPIRIT,Kenya,N
59,Air Charter Service,,,United Kingdom,N
60,Aero Asia International,E4,AERO ASIA,Pakistan,N
61,Air Charters,,PARAIR,Canada,N
62,Air Togo,YT,AIR TOGO,Togo,N
63,Air Somalia,,AIR SOMALIA,Somali Republic,N
64,Atlas Cargo Lines,,ATLAS CARGOLINES,Morocco,N
65,Airservices Australia,,AUSCAL,Australia,N
66,Advance Leasing Company,4G,,United States,N
67,Aztec Worldwide Airlines,7A,,United States,N
68,Air Tindi,8T,,Canadian Territories,Y
69,Antonov Airlines,,ANTONOV BUREAU,Ukraine,N
70,Air Atlantic Dominicana,,ATLAN-DOMINICAN,Dominican Republic,N
71,Advanced Air Co.,,,Japan,N
72,Ada Air,ZY,ADA AIR,Albania,Y
73,Aerea Flying Training Organization,,AEREA TRAINING,Spain,N
74,Audeli Air,,AUDELI,Spain,N
75,Abicar,,ABICAR,Ivory Coast,N
76,ADC Airlines,Z7,ADCO,Nigeria,N
77,Aero Dynamics,,COTSWOLD,United Kingdom,N
78,Aerolineas Dominicanas,,DOMINAIR,Dominican Republic,N
79,Aerodienst GmbH,,AERODIENST,Germany,N
80,Aerodiplomatic,,AERODIPLOMATIC,Mexico,N
81,Aerodyne,,AERODYNE,United States,N
82,Avion Taxi,,AIR DATA,Canada,N
83,Adria Airways,JP,ADRIA,Slovenia,Y
84,Aviones de Sonora,,SONORAV,Mexico,N
85,Air Dorval,,AIR DORVAL,Canada,N
86,Airdeal Oy,,AIRDEAL,Finland,N
87,Advance Air Charters,,ADVANCE,Canada,N
88,Air Andaman,,AIR ANDAMAN,Thailand,N
89,Anderson Aviation,,ANDAX,United States,N
90,Air Europa,UX,EUROPA,Spain,Y
91,Air Southwest Ltd.,,AIRSOUTHWEST,Canada,N
92,Air Special,,AIRSPEC,Czech Republic,N
93,Aero Benin,EM,AEROBEN,Benin,Y
94,Aerocesar,, Aerovias Del Cesar,AEROCESAR,N
95,Aerotrans Airlines,,,Russia,N
96,Aegean Airlines,A3,AEGEAN,Greece,Y
97,Aerofumigaciones Sam,,FUMIGACIONES SAM,Chile,N
98,Aeroexpreso Interamericano,,INTERAM,Colombia,N
99,Air Express,,KHAKI EXPRESS,Tanzania,N
100,Aerocon,,AEROCON,Bolivia,N
101,Aero Madrid,,AEROMADRID,Spain,N
102,Aeroenlaces Nacionales,,,Mexico,N
103,Aeroservicios Ejecutivos Del Occidente,,AERO OCCIDENTE,Mexico,N
104,Aerotec,,AEROTEC,Spain,N
105,Air Atlantique,KI,ATLANTIC,United Kingdom,N
106,Air Europe,PE,AIR EUROPE,Italy,Y
107,Air Alma,,AIR ALMA,Canada,N
108,Air Express,,LUNA,Sweden,N
109,Alaska Central Express,KO,ACE AIR,United States,Y
110,ACES Colombia,,ACES,Colombia,Y
111,Aeronautical Radio of Thailand,,AEROTHAI,Thailand,N
112,Astraeus,5W,FLYSTAR,United Kingdom,Y
113,Aeroventas,,AEROVENTAS,Mexico,N
114,Aerosvit Airlines,VV,AEROSVIT,Ukraine,Y
115,Airway Express,,AVCO,United States,N
116,Air Italy,I9,AIR ITALY,Italy,Y
117,Aerial Transit Company,,AERIAL TRANZ,United States,N
118,Alfa Air,,BLUE ALFA,Czech Republic,N
119,American Falcon,WK,AMERICAN FALCON,Argentina,N
120,Alliance Airlines,QQ,UNITY,Australia,Y
121,Air Universal,,UNI-LEONE,Sierra Leone,N
122,Auvia Air,,AUVIA,Indonesia,N
123,African West Air,,AFRICAN WEST,Senegal,N
124,Airfast Indonesia,,AIRFAST,Indonesia,N
125,Ariana Afghan Airlines,FG,ARIANA,Afghanistan,Y
126,Air Fecteau,,FECTO,Canada,N
127,Africaone,,AFRICAWORLD,Uganda,N
128,Alliance,,JAMBO,Uganda,N
129,Africa Air Links,,AFRICA LINKS,Sierra Leone,N
130,Aeroflot Russian Airlines,SU,AEROFLOT,Russia,Y
131,Aero Empresa Mexicana,,AERO EMPRESA,Mexico,N
132,Air Bosna,JA,AIR BOSNA,Bosnia and Herzegovina,Y
133,Air Bravo,,AIR BRAVO,Uganda,N
134,Air Brasd'or,,BRASD'OR,Canada,N
135,Air 500,,BOOMERANG,Canada,N
136,Alba Servizi Aerotrasporti,,ALBA,Italy,N
137,Air France,AF,AIRFRANS,France,Y
138,Air Partner,,AIR PARTNER,United Kingdom,N
139,Air Caledonie International,SB,AIRCALIN,France,Y
140,Air Caledonia,,WEST CAL,Canada,N
141,Air Guam,,AIR GUAM,United States,N
142,Air Gabon,GN,GOLF NOVEMBER,Gabon,N
143,Air Data,,,United Kingdom,N
144,Air Afrique Vacancies,,AFRIQUE VACANCE,Ivory Coast,N
145,Air Cargo America,,PEGASUS,United States,N
146,Air Salone,2O,,Sierra Leone,Y
147,Air-Angol,,AIR ANGOL,Angola,N
148,Air Nigeria,,REGAL EAGLE,Nigeria,N
149,Air Cargo Carriers,2Q,NIGHT CARGO,United States,Y
150,Air Samarkand,,ARSAM,Uzbekistan,N
151,Air Senegal International,V7,AIR SENEGAL,Senegal,N
152,Air Sandy,,AIR SANDY,Canada,N
153,Air Namibia,SW,NAMIBIA,Namibia,Y
154,Air Intersalonika,,INTERSALONIKA,Greece,N
155,Air Anatolia,,AIR ANATOLIA,Turkey,N
156,Air Saigon,,AIR SAIGON,Vietnam,N
157,Afrique Regional Airways,,AFRAIR,Ivory Coast,N
158,Airfreight Express,, ,United Kingdom,N
159,Africa Chartered Services,,AFRICA CHARTERED,Nigeria,N
160,Africa Freight Services,,AFREIGHT,Zambia,N
161,Aeronaves Del Centro,,,Venezuela,N
162,Air Service Gabon,G8,,Gabon,N
163,Arab Agricultural Aviation Company,,AGRICO,Egypt,N
164,Atlantic Gulf Airlines,,ATLANTIC GULF,United States,N
165,Aerolitoral,5D,COSTERA,Mexico,Y
166,Algoma Airways,,ALGOMA,Canada,N
167,Altagna,,ALTAGNA,France,N
168,Angola Air Charter,,ANGOLA CHARTER,Angola,N
169,Angola Air Charter,,ANGOLA CHARTER,Angola,N
170,AERFI Group,,AIR TARA,Ireland,N
171,Aerogala,,GALASERVICE,Chile,N
172,Amadeus Global Travel Distribution,1A,AMADEUS,Spain,N
173,Angara Airlines,,SARMA,Russia,N
174,Air Glaciers,7T,AIR GLACIERS,Switzerland,Y
175,Aero Gambia,,AERO GAMBIA,Gambia,N
176,Aviogenex,,GENEX,Serbia,Y
177,Atlantic Coast Airlines,,BLUE RIDGE,United States,N
178,Aero Barloz,,AEROLOZ,Mexico,N
179,Aeroper,PL,Aeroperu,Peru,Y
180,Atlas Blue,8A,ATLAS BLUE,Morocco,Y
181,Aero Banobras,,AEROBANOBRAS,Mexico,N
182,Aero Flight Service,,FLIGHT GROUP,United States,N
183,Agrolet-Mci,,AGROLET,Slovakia,N
184,Air Alpha Greenland,GD,AIR ALPHA,Denmark,N
185,Azal Avia Cargo,,AZALAVIACARGO,Azerbaijan,N
186,Airport Helicopter Basel,, Muller & Co.,AIRPORT HELICOPTER,N
187,Aeroservices Corporate,,BIRD JET,France,N
188,Aspen Helicopters,,ASPEN,United States,N
189,Aerochago Airlines,,AEROCHAGO,Dominican Republic,N
190,Airplanes Holdings,,AIRHOLD,Ireland,N
191,Air Hong Kong,LD,AIR HONG KONG,Hong Kong,N
192,Aerochiapas,,AEROCHIAPAS,Mexico,N
193,Air Adriatic,,ADRIATIC,Croatia,N
194,Air Viggi San Raffaele,,AIRSAR,Italy,N
195,ABC Air Hungary,,ABC HUNGARY,Hungary,N
196,Aeromist-Kharkiv,HT,AEROMIST,Ukraine,N
197,Azerbaijan Airlines,J2,AZAL,Azerbaijan,Y
198,Avies,U3,AVIES,Estonia,Y
199,Airbus Industrie,AP,AIRBUS INDUSTRIE,France,N
200,Alpine Air Chile,,ALPINE CHILE,Chile,N
201,Air Integra,,INTEGRA,Canada,N
202,ABC Aerolineas,,ABC AEROLINEAS,Mexico,N
203,African Airlines International Limited,,AFRICAN AIRLINES,Kenya,N
204,African International Airways,,FLY CARGO,Swaziland,N
205,Alpine Air Express,5A,ALPINE AIR,United States,N
206,Alicante Internacional Airlines,,ALIA,Spain,N
207,Aba Air,,BAIR,Czech Republic,N
208,Airblue,ED,PAKBLUE,Pakistan,Y
209,Airmark Aviation,,THAI AIRMARK,Thailand,N
210,Airlift International,,AIRLIFT,United States,Y
211,Airest,, ,Estonia,N
212,Air Baffin,,AIR BAFFIN,Canada,N
213,Air Bandama,,BANDAMA,Ivory Coast,N
214,Air Berlin,AB,AIR BERLIN,Germany,Y
215,Air Brousse,,AIR BROUSSE,Canada,N
216,Air Contractors,AG,CONTRACT,Ireland,N
217,Air Illinois,,AIR ILLINOIS,United States,N
218,Air India Limited,AI,AIRINDIA,India,Y
219,Air Inter Gabon,, ,Gabon,N
220,Air Bourbon,ZB,BOURBON,Reunion,Y
221,Air Atlanta Icelandic,CC,ATLANTA,Iceland,Y
222,Air Inuit,,AIR INUIT,Canada,N
223,Air Sureste,,SURESTE,Spain,N
224,Air Srpska,RB,Air Srpska,Bosnia and Herzegovina,N
225,Air Tahiti Nui,TN,TAHITI AIRLINES,France,Y
226,Airvias S/A Linhas Aereas,,AIRVIAS,Brazil,N
227,Aero Services Executive,W4,BIRD EXPRESS,France,N
228,Atlantic Island Airways,,TARTAN,Canada,N
229,Aircruising Australia,,CRUISER,Australia,N
230,Aircrew Check and Training Australia,,AIRCREW,Australia,N
231,Arkia Israel Airlines,IZ,ARKIA,Israel,Y
232,A J Services,,AYJAY SERVICES,United Kingdom,N
233,Aero JBR,,AERO JBR,Mexico,N
234,Aero Jet Express,,JET EXPRESS,Mexico,N
235,Avia Consult Flugbetriebs,,AVIACONSULT,Austria,N
236,Ameristar Jet Charter,,AMERISTAR,United States,N
237,A2 Jet Leasing,,ATLANTIC JET,United States,N
238,Allied Air,,BAMBI,Nigeria,N
239,Air Jamaica,JM,JAMAICA,Jamaica,Y
240,Air One,AP,HERON,Italy,Y
241,Air Sahara,S2,SAHARA,India,Y
242,Air Malta,KM,AIR MALTA,Malta,Y
243,Aeroejecutivo,,AEROEXO,Mexico,N
244,Aero Jets Corporativos,,AEROJETS,Mexico,N
245,Aeroejecutivos Colombia,,AEROEJECUTIVOS,Colombia,N
246,Amerijet International,M6,AMERIJET,United States,N
247,Air Jetsul,,AIRJETSUL,Portugal,N
248,ANA & JP Express,,AYJAY CARGO,Japan,N
249,Alpha Jet International,,ALPHAJET,United States,N
250,Air Japan,NQ,AIR JAPAN,Japan,Y
251,Ajet,,AYJET,Cyprus,N
252,Air Korea Co. Ltd.,,,Republic of Korea,Y
253,Air Livonia,,LIVONIA,Estonia,N
254,Air BC,,AIRCOACH,Canada,N
255,Air Fret Senegal,, ,Senegal,N
256,Air Jamahiriya Company,,AIR JAMAHIRIYA,Libya,N
257,Aktjubavia,,KARAB,Kazakhstan,N
258,Arca Aerovias Colombianas Ltda.,,ARCA,Colombia,N
259,Anikay Air Company,,ANIKAY,Kyrgyzstan,N
260,Akhal,,AKHAL,Turkmenistan,N
261,Aeromilenio,,AEROMIL,Mexico,N
262,Aklak Air,,AKLAK,Canada,N
263,Air Kiribati,4A,,Kiribati,Y
264,Alkan Air,,ALKAN AIR,Canada,N
265,Angkor Airways,,ANGKORWAYS,Cambodia,N
266,Air Nippon Network Co. Ltd.,EH,ALFA WING,Japan,N
267,AK Navigator LLC,,ABSOLUTE,Kazakhstan,N
268,Aero Albatros,,ALBATROS,Mexico,N
269,Albion Aviation,,ALBION,United Kingdom,N
270,Aeroalas Colombia,,AEROALAS,Colombia,N
271,Allied Command Europe (Mobile Force),,ACEFORCE,Belgium,N
272,Aerotaxis Albatros,,AEROLINEAS ALBATROS,Mexico,N
273,American Flyers,,AMERICAN FLYERS,United States,N
274,Aero Coach Aviation,,AERO COACH,United States,N
275,Atlantic Southeast Airlines,,Chandler,United States,N
276,ACM Air Charter,,BAVARIAN,Germany,N
277,Air Logistics,,AIRLOG,United States,N
278,Aerovallarta,,VALLARTA,Mexico,N
279,Air ALM,,ANTILLEAN,Netherlands Antilles,N
280,Air Lincoln,,CHICAGO LINCOLN,United States,N
281,America West Airlines,HP,CACTUS,United States,Y
282,Air Wisconsin,ZW,AIR WISCONSIN,United States,Y
283,Aerotransporte de Carga Union,,AEROUNION,Mexico,N
284,Aero Taxis Cessna,,TAXIS CESSNA,Mexico,N
285,Arizona Express Airlines,,TEMPE,United States,N
286,Tatarstan Airlines,U9,TATARSTAN,Russia,Y
287,Allegheny Commuter Airlines,,ALLEGHENY,United States,Y
288,Alpliner AG,,ALPINER,Switzerland,N
289,Altair Aviation (1986),,ALTAIR,Canada,N
290,Air Luxor STP,,LUXORJET,Sao Tome and Principe,N
291,Alas de Venezuela,,ALVEN,Venezuela,N
292,Alas Nacionales,, S.A.,ALNACIONAL,N
293,Alyeska Air Service,,ALYESKA,United States,N
294,Alta Flights (Charters) Ltd.,, ,Canada,N
295,Air Sunshine,,AIR SUNSHINE,United States,Y
296,ATMA,,ADIK,Kazakhstan,N
297,Aerolineas Medellin,,AEROLINEAS MEDELLIN,Colombia,N
298,Ameriflight,,AMFLIGHT,United States,N
299,Air Libert,VD,,France,Y
300,Air Lithuania,TT,KAUNAS,Lithuania,N
301,Air Minas Linhas A,,AIR MINAS,Brazil,N
302,Alan Mann Helicopters Ltd.,,MANN,United Kingdom,N
303,Air Maldives,,AIR MALDIVES,Maldives,N
304,Aviation Amos,,AVIATION AMOS,Canada,N
305,Amerer Air,,AMER AIR,Austria,N
306,Air Malawi,QM,MALAWI,Malawi,Y
307,Aeroputul International Marculesti,,AEROM,Moldova,N
308,Air Montenegro,,MONTENEGRO,Montenegro,N
309,Air Montreal (Air Holdings Inc.),,AIR MONTREAL,Canada,N
310,Aero Transporte S.A. (ATSA),,ATSA,Peru,N
311,Aeromedicare Ltd.,,LIFELINE,United Kingdom,N
312,Air Sicilia,BM,,Italy,Y
313,Air Specialties Corporation,,AIR AM,United States,N
314,Air Muskoka,,AIR MUSKOKA,Canada,N
315,ATA Airlines,,AMTRAN,United States,Y
316,Air Macau,NX,AIR MACAO,Macao,Y
317,AMC Airlines,,,Egypt,Y
318,Air Midwest,ZV,AIR MIDWEST,United States,N
319,Air Seychelles,HM,SEYCHELLES,Seychelles,Y
320,Air Sofia,,AIR SOFIA,Bulgaria,N
321,AeroM똿xico,AM,AEROMEXICO,Mexico,Y
322,Air Ambar,,AIR AMBAR,Dominican Republic,N
323,Amiya Airline,,AMIYA AIR,Nigeria,N
324,All Nippon Airways,NH,ALL NIPPON,Japan,Y
325,Air Navigation And Trading Co. Ltd.,,AIR NAV,United Kingdom,N
326,Anglo Cargo,,ANGLO,United Kingdom,N
327,Air Nostrum,YW,AIR NOSTRUM,Spain,Y
328,Air Niugini,PX,NUIGINI,Papua New Guinea,Y
329,Air Arabia,G9,ARABIA,United Arab Emirates,Y
330,Air Canada,AC,AIR CANADA,Canada,Y
331,Airport Bratsk,,AEROBRA,Russia,N
332,Air Wings,,ARBAS,Moldova,N
333,Air Baltic,BT,AIRBALTIC,Latvia,Y
334,Alajnihah for Air Transport,,ALAJNIHAH,Libya,N
335,Air Atlantic (Nig) Limited,,NIGALANTIC,Nigeria,N
336,Air Nippon,EL,ANK AIR,Japan,Y
337,Antares Airtransport,, Maintenance & Service GmbH,ANTARES,N
338,Airnorth,TL,TOPEND,Australia,Y
339,Aerol,,ANTIOQUIA,Colombia,N
340,Andes Lineas Aereas,,AEROANDES,Argentina,N
341,Air North Charter - Canada,4N,AIR NORTH,Canada,Y
342,Air Nevada,,AIR NEVADA,United States,N
343,AOM French Airlines,IW,French Lines,France,N
344,Aviacion Del Noroeste,, S.A. de C.V.,AVINOR,N
345,Air New Zealand,NZ,NEW ZEALAND,New Zealand,Y
346,Avia Jaynar,,TOBOL,Kazakhstan,N
347,Aero Servicios Empresariales,,SERVIEMPRESARIAL,Mexico,N
348,Alcon Servicios Aereos,, S.A. de C.V.,ALCON,N
349,AVCOM,J6,AERO AVCOM,Russia,N
350,Aero Vodochody,,AERO CZECH,Czech Republic,N
351,Air One Executive,, ,Italy,N
352,Atair Pty Ltd.,,ATAIR,South Africa,N
353,Aero VIP,2D,AVIP,Argentina,N
354,Aeromundo Ejecutivo,,AEROMUNDO,Mexico,N
355,Aerolinea Muri,,MURI,Mexico,N
356,Astoria,, Inc.,ASTORIA,N
357,Aero Rent JSC,,AEROMASTER,Russia,N
358,Aeronord-Grup,,AERONORD,Moldova,N
359,Aeroatlantico Colombia,,,Colombia,N
360,Angkor Airlines,,ANGKOR AIR,Cambodia,N
361,Aero Entreprise,,AERO ENTERPRISE,France,N
362,As,, Opened Joint Stock Company,COMPANY AS,N
363,Aeropiloto,,AEROPILOTO,Portugal,N
364,Aeroenlaces Nacionales,,AEROENLACES,Mexico,N
365,Aerovis Airlines,,AEROVIZ,Ukraine,N
366,Avjet International (FZE),,,United Arab Emirates,N
367,Aerovista Gulf Express,,VISTA GULF,United Arab Emirates,N
368,Air Vegas,6V,AIR VEGAS,United States,N
369,Almaver,,ALMAVER,Mexico,N
370,Afro International Ent. Limited,,INTER-AFRO,Nigeria,N
371,Alitalia Express,XM,ALIEXPRESS,Italy,Y
372,Asia Overnight Express,OE,ASIA OVERNIGHT,Philippines,N
373,Air Tractor,,AIR TRACTOR,Croatia,N
374,Aero Vision,,AEROVISION,France,N
375,Aerotaxi Del Valle,,AEROVALLE,Colombia,N
376,Air Park Aviation Ltd.,,CAN-AM,Canada,N
377,Airpac Airlines,, Inc.,AIRPAC,N
378,Aeroservicios Monterrey,,SERVIMONTE,Mexico,N
379,Amapola Flyg AB,,AMAPOLA,Sweden,N
380,Air People International,,AIR PEOPLE,Thailand,N
381,Alpha Aviation,, Inc.,AIRFLIGHT,N
382,ASA Pesada,, Lda.,ASA PESADA,N
383,Air Print,, S.A.,AIR PRINT,N
384,Atlantic Airlines,,BLACKJACK,United States,N
385,Aerotransporte Petrolero,,AEROPETRO,Colombia,N
386,Aero Flight,GV,Aero Fox,Germany,Y
387,ACM Aviation,,BAY JET,United States,N
388,Aircompany Barcol,,BARCOL,Russia,N
389,All Charter Limited,,ALL CHARTER,United Kingdom,N
390,Appalachian Flying Service,, Inc.,APPALACHIAN,N
391,Airpac,, Inc.,ALASKA PACIFIC,N
392,Aeropro,,AEROPRO,Canada,N
393,Aerolineas Pacifico Atlantico,, S.A. (Apair),AEROPERLAS,N
394,Aspen Aviation,,ASPEN BASE,United States,N
395,Aeropuma,, S.A.,AEROPUMA,N
396,Air Plan International,,AIR PLAN,Democratic Republic of the Congo,N
397,Arrow Air,JW,BIG A,United States,Y
398,Apex Air Cargo,,PARCEL EXPRESS,United States,N
399,APA Internacional,,APA INTERNACIONAL,Dominican Republic,N
400,Aeroatlas,, S.A.,ATCO,N
401,Aquila Air Ltd.,,AQUILA,Canada,N
402,Air Queensland,,BUSHAIR,Australia,N
403,Aluminum Company Of America,,ALCOA SHUTTLE,United States,N
404,Aviones de Renta de Quintana Roo,, S.A. de C.V.,AVIOQUINTANA,N
405,AirQuarius Aviation,,QUARIUS,South Africa,N
406,Aerodyne Charter Company,,QUANZA,United States,N
407,Arik Air,W3,ARIK AIR,Nigeria,N
408,Avia Air N.V.,,AVIAIR,Aruba,N
409,Air Routing International Corp.,, ,United States,N
410,Aerocondor,2B,AEROCONDOR,Portugal,Y
411,Aires,4C, Aerovias de Integracion Regional, S.A.,Y
412,Aerolineas Argentinas,AR,ARGENTINA,Argentina,Y
413,Arrowhead Airways,,ARROWHEAD,United States,N
414,Aero Vics,,AEROVICS,Mexico,N
415,Aerojet de Costa Rica,, S.A.,,N
416,Antillana De Navegacion Aerea,,,Dominican Republic,N
417,Aeroservicios De San Luis,,SERVICIO SANLUIS,Mexico,N
418,Aerosuper,,AEROSUPER,Mexico,N
419,Aero Link Air Services S.L.,,LINK SERVICE,Spain,N
420,Airlec - Air Aquitaine Transport,,AIRLEC,France,N
421,Aeromarket Express,,AMEX,Spain,N
422,Arrow Aviation Ltd.,,ARROW,Canada,N
423,RPA-Aviataxi Ltd.,,,Russia,N
424,Air Klaipeda,,AIR KLAIPEDA,Lithuania,N
425,Armstrong Air,, Inc.,ARMSTRONG,N
426,Air Armenia,QN,AIR ARMENIA,Armenia,N
427,Aeromet Servicios,,METSERVICE,Chile,N
428,Aerotal Aerolineas Territoriales de Colombia Ltda,,AEROTAL,Colombia,N
429,Aravco Ltd.,,ARAVCO,United Kingdom,N
430,Aria,,ARIABIRD,France,N
431,Air Xpress,, Inc.,AIREX,N
432,Airline Alania,,ALANIA,Russia,N
433,Air Tchad,,HOTEL TANGO,Chad,N
434,Aerloineas de Techuacan,,LINEAS TEHUACAN,Mexico,N
435,Aerotransportes Huitzilin,,AEROHUITZILIN,Mexico,N
436,Aero Transportes Del Humaya,,AERO HUMAYA,Mexico,N
437,Argosy Airways,,GOSEY,United States,N
438,Air Resorts,,AIR RESORTS,United States,N
439,Alaska Airlines,AS, Inc.,ALASKA,Y
440,Air-Spray 1967 Ltd.,,AIR SPRAY,Canada,N
441,Air Star Corporation,,AIR STAR,Canada,N
442,Air Sinai,4D,AIR SINAI,Egypt,Y
443,Airstars,PL,MOROZOV,Russia,N
444,Air Schefferville,, Inc.,SCHEFF,N
445,African Star Airways (PTY) Ltd.,,AFRICAN STAR,South Africa,N
446,Aerosun International,, Inc.,AEROSUN,N
447,Air Satellite,,SATELLITE,Canada,N
448,Awesome Flight Services (PTY) Ltd.,,AWESOME,South Africa,N
449,Air and Sea Transport,, ,Russia,N
450,Aero Slovakia,,AERO NITRA,Slovakia,N
451,Airsprint,,AIRSPRINT,Canada,N
452,Atlantic Southeast Airlines,EV,ACEY,United States,Y
453,All Star Airlines,, Inc.,ALL STAR,N
454,Air Class,, S.A. de C.V.,AIR CLASS,N
455,Aerlineas Del Oeste,,AEROESTE,Mexico,N
456,Aviones Are,,AVIONES ARE,Mexico,N
457,Air Nepal International,,AIR NEPAL,Nepal,N
458,Air Napier,,,New Zealand,N
459,Air Taxi & Cargo,,TAXI CARGO,Sudan,N
460,Arrow Panama,,ARROW PANAMA,Panama,N
461,Astravia-Bissau Air Transports Ltd.,,ASTRAVIA,Guinea-Bissau,N
462,Astrakhan Airlines,OB,AIR ASTRAKHAN,Russia,Y
463,Air Transport Association,,,United States,N
464,Atlantair Ltd.,,STARLITE,Canada,N
465,Air Tanzania,TC,TANZANIA,Tanzania,Y
466,Aerotours Dominicana,,AEROTOURS,Dominican Republic,N
467,Atlantis Transportation Services,, Ltd.,ATLANTIS CANADA,N
468,Aerotrans Airline,,BACHYT,Kazakhstan,N
469,Air Charter World,,,United States,N
470,Air Burkina,2J,BURKINA,Burkina Faso,Y
471,Air Travel Corp.,,AIR TRAVEL,United States,N
472,Aero-Tropics Air Services,HC,,Australia,N
473,Air Traffic GmbH,,SNOOPY,Germany,N
474,AeroTACA,,AEROTACA,Colombia,N
475,Aerocentral,,CENTRALMEX,Mexico,N
476,Airlines Of Tasmania,FO,AIRTAS,Australia,Y
477,Air Saint Pierre,PJ,,France,Y
478,Air Transport International,8C,AIR TRANSPORT,United States,N
479,ASTRAL Colombia - Aerotransportes Especiales Ltda.,,ASTRAL,Colombia,N
480,Air Transport Schiphol,,MULTI,Netherlands,N
481,Aeroferinco,,FERINCO,Mexico,N
482,Aero Taxis Y Servicios Alfe,,AERO ALFE,Mexico,N
483,Avialesookhrana,,AVIALESOOKHRANA,Russia,N
484,Africair Service,,FOXTROT FOXTROT,Senegal,N
485,Atlas Airlines,,ATLAS-AIR,United States,N
486,Air Transport Service,,,Democratic Republic of the Congo,N
487,Aer Turas,,AERTURAS,Ireland,N
488,Atlant Aerobatics Ltd.,,ATLANT HUNGARY,Hungary,N
489,Avanti Air,,AVANTI AIR,Germany,N
490,Aero Trades (Western) Ltd.,,AERO TRADES,Canada,N
491,Austrian Airlines,OS,AUSTRIAN,Austria,Y
492,Air Southwest,,SWALLOW,United Kingdom,Y
493,Augsburg Airways,IQ,AUGSBURG-AIR,Germany,Y
494,Air Corporate,,AIRCORPORATE,Italy,N
495,Aviastar-Tu,,TUPOLEVAIR,Russia,N
496,AirBridge Cargo,RU,AIRBRIDGE CARGO,Russia,N
497,ATUR,,,Ecuador,Y
498,ATESA Aerotaxis Ecuatorianos,,ATESA,Ecuador,N
499,Austin Express,,COWBOY,United States,N
500,Audi Air,, Inc.,AUDI AIR,N
501,Augusta Air Luftfahrtunternehmen,,AUGUSTA,Germany,N
502,Abu Dhabi Amiri Flight,MO,SULTAN,United Arab Emirates,Y
503,Aeroflot-Nord,5N,DVINA,Russia,Y
