id,full name,code,acronym,country,finantial
1309,Aero Tanala,,AEROTANALA,Mexico,N
1310,Aero Tropical,,AERO TROPICAL,Angola,N
1311,Air Cal,TY,AIRCAL,France,N
1312,Air Horizon,,TCHAD-HORIZON,Chad,N
1313,Aero Taxi del Potosi,,TAXI-POTOSI,Mexico,N
1314,Aeroturquesa,,AEROTURQUESA,Mexico,N
1315,Airmark Aviation,,TRANSTAR,United States,N
1316,AirTran Airways,FL,CITRUS,United States,Y
1317,Air Transat,TS,TRANSAT,Canada,Y
1318,airtransse,,AIRTRA,Japan,N
1319,Aerolineas Turisticas del Caribe,,AERO TURISTICAS,Mexico,N
1320,Avcenter,,TETON,United States,N
1321,Air Tungaru,,TUNGARU,Kiribati,N
1322,Avialeasing Aviation Company,EC,TWINARROW,Uzbekistan,Y
1323,Aerotaxis del Noroeste,,TAXI OESTE,Mexico,N
1324,Aerotaxis Alfe,,ALFE,Mexico,N
1325,Aereotaxis,,AEREOTAXIS,Mexico,N
1326,Tyrolean Airways,VO,TYROLEAN,Austria,Y
1327,Aero Tomza,,AERO TOMZA,Mexico,N
1328,Air Zambezi,,ZAMBEZI,Zimbabwe,N
1329,Afra Airlines,,AFRALINE,Ghana,N
1330,Aerostar Airlines,,AEROSTAR,Ukraine,N
1331,Air Division of the Eastern Kazakhstan Region,,GALETA,Kazakhstan,N
1332,Aero-Charter Ukraine,DW,CHARTER UKRAINE,Ukraine,N
1333,Air LA,,AIR L-A,United States,N
1334,Air Ukraine,6U,AIR UKRAINE,Ukraine,N
1335,Air Umbria,,AIR UMBRIA,Italy,N
1336,Atuneros Unidos de California,,ATUNEROS UNIDOS,Mexico,N
1337,Aeroclub Flaps,,AEROCLUB FLAPS,Spain,N
1338,Aerolineas Galapagos (Aerogal),2K,AEROGAL,Ecuador,Y
1339,Air Castle Corporation / Global Airways,,GLO-AIR,United States,N
1340,Alrosa Mirny Air Enterprise,6R,MIRNY,Russia,Y
1341,Bearing Supplies Limited,,PROVOST,United Kingdom,N
1342,Balkan Agro Aviation,,BALKAN AGRO,Bulgaria,N
1343,Bahrain Air BSC (Closed),,AWAL,Bahrain,N
1344,BAC Leasing Limited,, ,United Kingdom,N
1345,BAE Systems,,FELIX,United Kingdom,N
1346,Belgian Air Force,,BELGIAN AIRFORCE,Belgium,N
1347,Baker Aviation,8Q,BAKER AVIATION,United States,N
1348,Blackhawk Airways,,BLACKHAWK,United States,N
1349,Britannia Airways,,BRITANNIA,United Kingdom,N
1350,Business Air Services,,BUSINESS AIR,Canada,N
1351,British Antarctic Survey,,PENGUIN,United Kingdom,N
1352,Bradly Air (Charter) Services,,BRADLEY,Canada,N
1353,Bissau Airlines,,AIR BISSAU,Guinea-Bissau,N
1354,Bay Aviation Ltd,,BAY AIR,Bangladesh,N
1355,British Airways,BA,SPEEDBIRD,United Kingdom,Y
1356,Best Aero Handling Ltd,,,Russia,N
1357,Bayon Airlines,,BAYON,Cambodia,N
1358,Bannert Air,,BANAIR,Austria,N
1359,Biman Bangladesh Airlines,BG,BANGLADESH,Bangladesh,Y
1360,Bluebird Cargo,BF,BLUE CARGO,Iceland,N
1361,Beibars CJSC,,BEIBARS,Kazakhstan,N
1362,Bravo Airlines,,BRAVO EUROPE,Spain,N
1363,Blue Bird Aviation,,COBRA,Kenya,N
1364,BACH Flugbetriebsges,B4,BACH,Austria,N
1365,Blue Islands,,BLUE ISLAND,United Kingdom,N
1366,British Caribbean Airways,,,United Kingdom,N
1367,British Charter,,BACKER,United Kingdom,N
1368,BCT Aviation,,BOBCAT,United Kingdom,N
1369,Business Aviation Center,,BUSINESS AVIATION,Ukraine,N
1370,Blue Dart Aviation,BZ,BLUE DART,India,N
1371,B&H Airlines,JA,Air Bosna,Bosnia and Herzegovina,N
1372,Bissau Discovery Flying Club,,BISSAU DISCOVERY,Guinea-Bissau,N
1373,Belgian Army,,BELGIAN ARMY,Belgium,N
1374,Badr Airlines,,BADR AIR,Sudan,N
1375,Best Aviation Ltd,,BEST AIR,Bangladesh,N
1376,Belgorod Aviation Enterprise,,BELOGORYE,Russia,N
1377,Bar Harbor Airlines,,BAR HARBOR,United States,N
1378,Balear Express,,BALEAR EXPRESS,Spain,N
1379,Bel Air Helicopters,,BLUECOPTER,Denmark,N
1380,Berkut Air,,BERKUT,Kazakhstan,N
1381,BETA - Brazilian Express Transportes Aereos,,BETA CARGO,Brazil,N
1382,Basler Flight Service,,BASLER,United States,N
1383,Bear Flight,,BEARFLIGHT,Sweden,N
1384,Buffalo Airways,J4,BUFFALO,Canada,N
1385,Bombardier,,BOMBARDIER,Canada,N
1386,Burkina Airlines,,BURKLINES,Burkina Faso,N
1387,Business Flight Sweden,,BUSINESS FLIGHT,Sweden,N
1388,Bahrain Defence Force,,SUMMAN,Bahrain,N
1389,BH Air,,BALKAN HOLIDAYS,Bulgaria,N
1390,British Gulf International,,BRITISH GULF,S,N
1391,British Gulf International-Fez,,GULF INTER,Kyrgyzstan,N
1392,Benin Golf Air,A8,BENIN GOLF,Benin,N
1393,Bugulma Air Enterprise,,BUGAVIA,Russia,N
1394,Budget Air Bangladesh,,BUDGET AIR,Bangladesh,N
1395,Bergen Air Transport,,BERGEN AIR,Norway,N
1396,Buddha Air,,BUDDHA AIR,Nepal,N
1397,Balkh Airlines,,SHARIF,Afghanistan,N
1398,Bristow Helicopters,,BRISTOW,United Kingdom,N
1399,Bristow Helicopters Nigeria,,BRISTOW HELICOPTERS,Nigeria,N
1400,Bhoja Airlines,,BHOJA,Pakistan,N
1401,Belair Airlines,4T,BELAIR,Switzerland,Y
1402,Bighorn Airways,,BIGHORN AIR,United States,N
1403,Bahamasair,UP,BAHAMAS,Bahamas,Y
1404,Bright Air,,BRIGHTAIR,Netherlands,N
1405,Bringer Air Cargo Taxi Aereo,E6,,Brazil,N
1406,Balkan Bulgarian Airlines,LZ,,,Y
1407,BA Connect,TH,,United Kingdom,N
1408,Bosphorus European Airways,,BOSPHORUS,Turkey,N
1409,Binair,,BINAIR,Germany,N
1410,Big Island Air,,BIG ISLE,United States,N
1411,British International Helicopters,BS,BRINTEL,United Kingdom,Y
1412,Billund Air Center,,BILAIR,Denmark,N
1413,Boise Interagency Fire Center,,BISON-AIR,United States,N
1414,Bird Leasing,,BIRD AIR,United States,N
1415,Bizjet Ltd,,BIZZ,United Kingdom,N
1416,Baja Air,,BAJA AIR,Mexico,N
1417,Baltic Jet Aircompany,,BALTIC JET,Latvia,N
1418,Business Jet Solutions,,SOLUTION,United States,N
1419,Bankair,B4,BANKAIR,United States,N
1420,BF-Lento OY,,BAKERFLIGHT,Finland,Y
1421,Barken International,,BARKEN JET,United States,N
1422,Bangkok Airways,PG,BANGKOK AIR,Thailand,Y
1423,Bukovyna,,BUKOVYNA,Ukraine,N
1424,Blue Bird Aviation,,BLUEBIRD SUDAN,Sudan,N
1425,Bellesavia,,BELLESAVIA,Belarus,N
1426,Blue Line,,BLUE BERRY,France,N
1427,Blue1,KF,BLUEFIN,Finland,Y
1428,Belgavia,,BELGAVIA,Belgium,N
1429,Blue Horizon Travel Club,,BLUE HORIZON,United States,N
1430,Blue Jet,,BLUEWAY,Spain,N
1431,Baltic Airlines,,BALTIC AIRLINES,Russia,Y
1432,Blue Airways,,BLUE ARMENIA,Armenia,N
1433,Bali International Air Service,,BIAR,Indonesia,N
1434,Bearskin Lake Air Service,JV,BEARSKIN,Canada,Y
1435,Baltic Aviation,,BALTAIR,United States,N
1436,Bellview Airlines,B3,BELLVIEW AIRLINES,Nigeria,Y
1437,bmi,BD,MIDLAND,United Kingdom,Y
1438,British Medical Charter,,BRITISH MEDICAL,United Kingdom,N
1439,Briggs Marine Environmental Services,,BRIGGS,United Kingdom,N
1440,Bristow Masayu Helicopters,,MASAYU,Indonesia,N
1441,bmibaby,WW,BABY,United Kingdom,Y
1442,Bemidji Airlines,CH,BEMIDJI,United States,Y
1443,Bismillah Airlines,5Z,BISMILLAH,Bangladesh,N
1444,Bowman Aviation,,BOWMAN,United States,N
1445,British Midland Regional,,,United Kingdom,Y
1446,BMW,,BMW-FLIGHT,Germany,N
1447,Banco de Mexico,,BANXICO,Mexico,N
1448,Bond Offshore Helicopters,,BOND,United Kingdom,N
1449,Benina Air,,BENINA AIR,Libya,N
1450,BN Group Limited,,VECTIS,United Kingdom,N
1451,Blue Nile Ethiopia Trading,,NILE TRADING,Ethiopia,N
1452,Bonair Aviation,,BONAIR,Canada,N
1453,Bancstar - Valley National Corporation,,BANCSTAR,United States,N
1454,Bentiu Air Transport,,BENTIU AIR,Sudan,N
1455,Benane Aviation Corporation,,BENANE,Mauritania,N
1456,British North West Airlines,,BRITISH NORTH,United Kingdom,N
1457,Boniair,,KUMANOVO,Macedonia,N
1458,Bond Air Services,,UGABOND,Uganda,N
1459,Boeing,,BOEING,United States,N
1460,Bordaire,,BORDAIR,Canada,N
1461,Bookajet Limited,,BOOKAJET,United Kingdom,N
1462,Bouraq Indonesia Airlines,BO,BOURAQ,Indonesia,N
1463,Blue Panorama Airlines,BV,BLUE PANOROMA,Italy,Y
1464,Berkhut ZK,,VENERA,Kazakhstan,N
1465,Bundepolizei-Fliegertruppe,,PIROL,Germany,N
1466,Budapest Aircraft Services/Manx2,,BASE,Hungary,Y
1467,Bonus Aviation,,BONUS,United Kingdom,N
1468,British Petroleum Exploration,,,Colombia,N
1469,BRA-Transportes Aereos,7R,BRA-TRANSPAEREOS,Brazil,N
1470,Brock Air Services,,BROCK AIR,Canada,N
1471,Breeze Ltd,,AVIABREEZE,Ukraine,N
1472,Bering Air,8E,BERING AIR,United States,Y
1473,Briansk State Air Enterprise,,BRIANSK-AVIA,Russia,N
1474,Branson Airlines,,BRANSON,United States,N
1475,BASE Regional Airlines,,COASTRIDER,Netherlands,N
1476,Brazilian Air Force,,BRAZILIAN AIR FORCE,Brazil,Y
1477,British Regional Airlines,,BRITISH,United Kingdom,N
1478,Belavia Belarusian Airlines,B2,BELARUS AVIA,Belarus,Y
1479,Bravo Air Congo,K6,BRAVO,Democratic Republic of the Congo,N
1480,Bright Aviation Services,,BRIGHT SERVICES,Bulgaria,N
1481,Braniff International Airways,BN,Braniff,United States,N
1482,Buffalo Express Airlines,,BUFF EXPRESS,United States,N
1483,Burundayavia,,BURAIR,Kazakhstan,N
1484,Bistair - Fez,,BIG SHOT,Kyrgyzstan,N
1485,Blue Star Airlines,,AIRLINES STAR,Mexico,N
1486,Brasair Transportes Aereos,,BRASAIR,Brazil,N
1487,Blue Swann Aviation,,BLUE SWANN,United Kingdom,N
1488,Blue Sky Aviation,,,Lebanon,N
1489,Bissau Aero Transporte,,BISSAU AIRSYSTEM,Guinea-Bissau,N
1490,Best Air,,TUNCA,Turkey,N
1491,Blue Sky Airways,,SKY BLUE,Czech Republic,N
1492,Big Sky Airlines,GQ,BIG SKY,United States,N
1493,BAL Bashkirian Airlines,V9,BASHKIRIAN,Russia,N
1494,Baltijas Helicopters,,BALTIJAS HELICOPTERS,Latvia,N
